original_folder,name,method
"Beate Brinkmann 2","Beate Brinkmann",proper_case
"Beate Eismann","Beate Eismann",proper_case
"Beate Kuhn","Beate Kuhn",proper_case
"Beate Kuhn 4","Beate Kuhn",proper_case
"Beatrix Schmah halbe Seite","Beatrix Schmah",proper_case
"Beck & Eggeling Gallerie-Fenster","Eggeling Gallerie Fenster",proper_case
"Bellerive Cose Fragili 1 Seite","Bellerive Cose Fragili",proper_case
"Benedict Haener - Curators' Choice","Benedict Haener Curators",proper_case
"Beppe Kessler","Beppe Kessler",proper_case
"Berlin-Dubai-Festival 2 Seiten","Berlin Dubai Festival",proper_case
"Berlin-Fotostrecke","Berlin Fotostrecke",proper_case
"Berliner Zusammenkunft","Berliner Zusammenkunft",proper_case
"Bernard Heesen 8","Bernard Heesen",proper_case
"Bernd Dreßen","Bernd Dreßen",proper_case
"Bernhard Simon","Bernhard Simon",proper_case
"Berthold Hoffmann","Berthold Hoffmann",proper_case
"BEST OF EUROPE","Best Of Europe",upper_space
"Bestecktest Bewertungsbögen","Bestecktest Bewertungsbögen",proper_case
"Beta Tank | Design Miami: Basel Press","Beta Tank",proper_case
"Beta Tank | Taxing Art | Press Pack | Web-rez","Beta Tank",proper_case
"Bettina Fehmel","Bettina Fehmel",proper_case
"Bettina Geistlich","Bettina Geistlich",proper_case
"Bettina Geistlich 1:6","Bettina Geistlich",proper_case
"Bettina Geistlich Bildauswahl","Bettina Geistlich Bildauswahl",proper_case
"Bettina Speckner Schmuck","Bettina Speckner Schmuck",proper_case
"Between Nirvana & Samsara  Exhebition by Atanas Kutsev","Between Nirvana",proper_case
"Bibi Chemnitz","Bibi Chemnitz",proper_case
